#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
258911	1213	9829	107623	115167	-	-	CLTC	DNAJC6	CHC|CHC17|CLH-17|CLTCL2|Hc	DJC6|PARK19	Reconstituted Complex	physical	Scheele U (2003)	PUBMED:12732633	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00610	A0A087WVQ6	NP_001275582|NP_004850	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3064922	9829	5286	115167	111304	-	-	DNAJC6	PIK3C2A	DJC6|PARK19	CPK|PI3-K-C2(ALPHA)|PI3-K-C2A	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.903524546	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.903524546, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.999999571, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O00443	L7RRS0	NP_001308309|NP_002636|NP_001373799|NP_001308307	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3097927	2779	9829	109041	115167	-	-	GNAT1	DNAJC6	CSNBAD3|GBT1|GNATR	DJC6|PARK19	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999496465	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999496465, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P11488	A0A024R2Z1	NP_000163|NP_653082	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3101691	9829	85021	115167	124433	-	RP3-509I19.2	DNAJC6	REPS1	DJC6|PARK19	RALBP1	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.938180126	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.938180126, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q96D71	B2R7D3	NP_001122089|NP_001273541|NP_001273540|NP_114128	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3102767	9829	55589	115167	120735	-	HRIHFB2017	DNAJC6	BMP2K	DJC6|PARK19	BIKE	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999949901	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999949901, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.999360845, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9NSY1	-	NP_942595|NP_060063	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3104019	9829	9685	115167	115038	-	-	DNAJC6	CLINT1	DJC6|PARK19	CLINT|ENTH|EPN4|EPNR	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.879520406	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.879520406, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q14677	-	NP_001182485|NP_001182484|NP_055481	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3104760	2636	9829	108906	115167	-	-	GBX1	DNAJC6	Huh-17	DJC6|PARK19	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999927552	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999927552, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	Q14549	-	NP_001092304	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3110238	9829	10928	115167	116131	-	-	DNAJC6	RALBP1	DJC6|PARK19	RIP1|RLIP1|RLIP76	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.990292516	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.990292516, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.992950403, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q15311	-	NP_006779	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3110490	9829	8218	115167	113854	-	-	DNAJC6	CLTCL1	DJC6|PARK19	CHC22|CLH22|CLTCL|CLTD	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999841961	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999841961, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P53675	-	NP_009029|NP_001826	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3122482	9829	10490	115167	115753	-	-	DNAJC6	VTI1B	DJC6|PARK19	VTI1|VTI1-LIKE|VTI1L|VTI2|v-SNARE|vti1-rp1	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.985084059	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.985084059, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.989663124, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9UEU0	-	NP_006361	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3127397	8808	9829	114336	115167	-	-	IL1RL2	DNAJC6	IL-1Rrp2|IL-36R|IL1R-rp2|IL1RRP2	DJC6|PARK19	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999292986	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999292986, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	Q9HB29	-	NP_003845	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3143116	9829	3101	115167	109348	-	-	DNAJC6	HK3	DJC6|PARK19	HKIII|HXK3	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.995898409	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.995898409, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P52790	A0A024R7R1	NP_002106	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3146229	9829	23545	115167	117089	-	-	DNAJC6	ATP6V0A2	DJC6|PARK19	A2|ARCL|ARCL2A|ATP6A2|ATP6N1D|J6B7|RTF|STV1|TJ6|TJ6M|TJ6S|VPH1|WSS	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999017391	-	BioPlex HCT HCT116 cells CompPASS score = 0.999017391, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9Y487	-	NP_036595	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3159699	9829	1173	115167	107587	-	-	DNAJC6	AP2M1	DJC6|PARK19	AP50|CLAPM1|mu2	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.809991731	-	BioPlex HCT HCT116 cells CompPASS score = 0.809991731, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q96CW1	-	NP_001020376|NP_001298127|NP_004059	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3165701	9829	8735	115167	114272	-	-	DNAJC6	MYH13	DJC6|PARK19	MyHC-IIL|MyHC-eo	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999634757	-	BioPlex HCT HCT116 cells CompPASS score = 0.999634757, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9UKX3	-	NP_003793	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3173841	9829	80007	115167	123064	-	-	DNAJC6	C10orf88	DJC6|PARK19	-	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999889804	-	BioPlex HCT HCT116 cells CompPASS score = 0.999889804, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9H8K7	-	NP_079218	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3179188	9829	2060	115167	108374	-	-	DNAJC6	EPS15	DJC6|PARK19	AF-1P|AF1P|MLLT5	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.869790429	-	BioPlex HCT HCT116 cells CompPASS score = 0.869790429, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P42566	B7Z240	NP_001153441|NP_001972	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3183400	9829	8301	115167	113902	-	-	DNAJC6	PICALM	DJC6|PARK19	CALM|CLTH|LAP	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999679232	-	BioPlex HCT HCT116 cells CompPASS score = 0.999679232, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q13492	A0A024R5L7|A0A024R5P1	NP_001193875|NP_001193876|NP_001008660|NP_009097	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3184871	9829	1212	115167	107622	-	-	DNAJC6	CLTB	DJC6|PARK19	LCB	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.844411782	-	BioPlex HCT HCT116 cells CompPASS score = 0.844411782, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	P09497	A0A024R7S3|B4DTF9	NP_009028|NP_001825|NP_001351055	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3188695	9829	51454	115167	119550	-	-	DNAJC6	GULP1	DJC6|PARK19	CED-6|CED6|GULP	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.999074145	-	BioPlex HCT HCT116 cells CompPASS score = 0.999074145, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	Q9UBP9	-	NP_001239598|NP_057399|NP_001239597	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3193366	9829	2580	115167	108853	-	-	DNAJC6	GAK	DJC6|PARK19	DNAJ26|DNAJC26	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.863406981	-	BioPlex HCT HCT116 cells CompPASS score = 0.863406981, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O14976	B4DS37	NP_001273762|NP_005246|NP_001305063	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3351725	1211	9829	107621	115167	-	-	CLTA	DNAJC6	LCA	DJC6|PARK19	Affinity Capture-MS	physical	Cho NH (2022)	PUBMED:35271311	9606	9606	High Throughput	-	-	Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins	-	BIOGRID	P09496	-	NP_001070145|NP_001171690|NP_001171691|NP_001824|NP_001171689|NP_001298133|NP_001298132|NP_001298135|NP_001298134|NP_009027	O75061	-	NP_001243794|NP_001243793|NP_055602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3411605	9829	2580	115167	108853	-	-	DNAJC6	GAK	DJC6|PARK19	DNAJ26|DNAJC26	Negative Genetic	genetic	Thompson NA (2021)	PUBMED:33637726	9606	9606	Low Throughput	-	-	CRISPR GI screen|Cell Line: A-375 cell BTO:0002806|Experimental Setup: Timecourse|GIST: A-phenotypic negative genetic interaction|Library: Targeted CRISPR synthetic lethality library|Significance Threshold:FDR<0.1 and additional filtering of gene pairs with one gene with a large individual fitness defect	-	BIOGRID	O75061	-	NP_001243794|NP_001243793|NP_055602	O14976	B4DS37	NP_001273762|NP_005246|NP_001305063	HP:0001507	Growth abnormality	phenotype	PATO:0000169	viability	-	Homo sapiens	Homo sapiens
