#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
589390	23411	51142	116983	119326	RP11-57G10.3	AAG10	SIRT1	CHCHD2	SIR2L1	C7orf17	Affinity Capture-MS	physical	Law IK (2009)	PUBMED:19343720	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96EB6	B0QZ35|E9PC49|A8K128|A0A024QZQ1	NP_036370|NP_001300978|NP_001135970	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524797	10901	51142	116107	119326	UNQ851/PRO1800	AAG10	DHRS4	CHCHD2	CR|NRDR|PHCR|PSCD|SCAD-SRL|SDR-SRL|SDR25C1|SDR25C2	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9BTZ2	F5GWZ1	NP_001269919|NP_001269918|NP_001269920|NP_001269917|NP_001269916|NP_066284	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524828	51142	10531	119326	115786	AAG10	RP11-298E9.1	CHCHD2	PITRM1	C7orf17	MP1|PreP	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q5JRX3	-	NP_055704|NP_001229238|NP_001229236	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524837	51142	10476	119326	115739	AAG10	My032	CHCHD2	ATP5H	C7orf17	ATPQ	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O75947	A0PJH2	NP_001003785|NP_006347	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524841	51142	51651	119326	119659	AAG10	CGI-147	CHCHD2	PTRH2	C7orf17	BIT1|CFAP37|PTH2	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9Y3E5	J3KQ48	NP_057161|NP_001015509	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524845	51142	1345	119326	107738	AAG10	-	CHCHD2	COX6C	C7orf17	-	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P09669	A0A024R9B7	NP_004365	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524860	203054	51142	128442	119326	-	AAG10	ADCK5	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q3MIX3	-	NP_777582	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524881	51142	10939	119326	116139	AAG10	-	CHCHD2	AFG3L2	C7orf17	SCA28|SPAX5	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9Y4W6	Q8TA92	NP_006787	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524889	51142	1337	119326	107730	AAG10	-	CHCHD2	COX6A1	C7orf17	CMTRID|COX6A|COX6AL	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P12074	H6SG15	NP_004364	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524936	51142	708	119326	107169	AAG10	-	CHCHD2	C1QBP	C7orf17	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q07021	-	NP_001203	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524963	51004	51142	119212	119326	CGI-10	AAG10	COQ6	CHCHD2	CGI10|COQ10D6	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y2Z9	B7Z357	NP_872282|NP_872286	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524965	51142	51218	119326	119386	AAG10	-	CHCHD2	GLRX5	C7orf17	C14orf87|FLB4739|GRX5|PR01238|PRO1238|PRSA	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q86SX6	-	NP_057501	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524969	4722	51142	110801	119326	-	AAG10	NDUFS3	CHCHD2	CI-30	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	O75489	-	NP_004542	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1524982	51142	27069	119326	117980	AAG10	My021	CHCHD2	GHITM	C7orf17	DERP2|HSPC282|MICS1|PTD010|TMBIM5	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9H3K2	-	NP_055209	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525022	51142	92609	119326	124961	AAG10	PRO1512	CHCHD2	TIMM50	C7orf17	TIM50|TIM50L	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.1	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q3ZCQ8	A0A024R0M6	NP_001316488|NP_001001563	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525031	51142	1891	119326	108220	AAG10	-	CHCHD2	ECH1	C7orf17	HPXEL	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	97.1	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q13011	-	NP_001389	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525074	79934	51142	123009	119326	-	AAG10	ADCK4	CHCHD2	NPHS9	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q96D53	A0A024R0Q9	NP_001136027|NP_079152	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525083	51142	84300	119326	124026	AAG10	RP11-6B20.2	CHCHD2	UQCC2	C7orf17	C6orf125|Cbp6|M19|MNF1|bA6B20.2	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9BRT2	-	NP_115716	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525099	79568	51142	122716	119326	-	AAG10	C2orf47	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8WWC4	A0A024R3U8	NP_078796	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525135	51142	55621	119326	120760	AAG10	-	CHCHD2	TRMT1	C7orf17	TRM1	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9NXH9	A8K8L2|A0A024R7I5	NP_001136026|NP_001129507|NP_060192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525160	57143	51142	121401	119326	-	AAG10	ADCK1	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q86TW2	-	NP_001136017|NP_065154	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525191	4697	51142	110777	119326	-	AAG10	NDUFA4	CHCHD2	CI-9k|CI-MLRQ|MLRQ	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	O00483	A0A024R9Z0	NP_002480	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525201	51117	51142	119305	119326	RP11-339B21.5	AAG10	COQ4	CHCHD2	CGI-92	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y3A0	-	NP_057119	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525241	51142	515	119326	107000	AAG10	RP11-552M11.5	CHCHD2	ATP5F1	C7orf17	PIG47	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.4	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P24539	Q08ET0	NP_001679	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525252	246269	51142	128885	119326	RP3-479O19.1	AAG10	LACE1	CHCHD2	AFG1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8WV93	-	NP_660358	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525274	154791	51142	127556	119326	HSPC268	AAG10	C7orf55	CHCHD2	FMC1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.2	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q96HJ9	-	NP_932068	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525296	4833	51142	110897	119326	Z97634.4-011	AAG10	NME4	CHCHD2	NDPK-D|NM23H4|nm23-H4	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	96.2	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	O00746	A0A087WVT9	NP_005000|NP_001273369|NP_001273368|NP_001273367|NP_001273365|NP_001273364|NP_001273362	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525355	498	51142	106987	119326	-	AAG10	ATP5A1	CHCHD2	ATP5A|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	P25705	V9HW26	NP_001001935|NP_004037|NP_001244263|NP_001244264|NP_001001937	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525370	63929	51142	121997	119326	RP11-554C12.3	AAG10	XPNPEP3	CHCHD2	APP3|NPHPL1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.9	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9NQH7	A0A087X0Z2	NP_071381|NP_001191756	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525401	51142	5442	119326	111438	AAG10	-	CHCHD2	POLRMT	C7orf17	APOLMT|MTRNAP|MTRPOL|h-mtRPOL	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.8	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	O00411	Q4G0F4	NP_005026	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525420	51142	84833	119326	124287	AAG10	PD04912	CHCHD2	USMG5	C7orf17	DAPIT|HCVFTP2|bA792D24.4	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q96IX5	-	NP_001193355|NP_116136|NP_001193356	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525453	144363	51142	126846	119326	-	AAG10	LYRM5	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.6	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q6IPR1	-	NP_001001660	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525465	51142	54059	119326	119869	AAG10	-	CHCHD2	YBEY	C7orf17	C21orf57	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P58557	Q8TBC8	NP_478061|NP_001006114	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525481	51142	79731	119326	122846	AAG10	-	CHCHD2	NARS2	C7orf17	SLM5|asnRS	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.5	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q96I59	B3KPX5|Q9H5H1	NP_001230180|NP_078954	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525491	80219	51142	123186	119326	-	AAG10	COQ10B	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.4	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9H8M1	B8ZZV9	NP_001307749|NP_001307748|NP_079423|NP_001307747	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525503	51142	84233	119326	123966	AAG10	-	CHCHD2	TMEM126A	C7orf17	OPA7	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.4	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9H061	-	NP_001231664|NP_115649	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525504	51142	8508	119326	114080	AAG10	-	CHCHD2	NIPSNAP1	C7orf17	-	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.4	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9BPW8	B4DQI7	NP_003625|NP_001189431	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525524	139322	51142	126558	119326	RP1-215K18.3	AAG10	APOOL	CHCHD2	CXorf33|FAM121A|UNQ8193	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.3	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q6UXV4	-	NP_940852	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525560	51142	60681	119326	121955	AAG10	PSEC0056	CHCHD2	FKBP10	C7orf17	FKBP65|OI11|OI6|PPIASE|hFKBP65	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.2	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q96AY3	Q658U4|A0A024R1W3|Q8NAG5	NP_068758	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525565	51142	522	119326	107006	AAG10	-	CHCHD2	ATP5J	C7orf17	ATP5|ATP5A|ATPM|CF6|F6	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.1	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P18859	Q6IB54|Q6NZ59	NP_001676|NP_001003696|NP_001003697|NP_001307195|NP_001307196|NP_001003701|NP_001003703	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525569	51805	51142	119731	119326	RP11-98I9.1	AAG10	COQ3	CHCHD2	DHHBMT|DHHBMTASE|UG0215E05|bA9819.1	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.1	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9NZJ6	-	NP_059117	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525618	51142	509	119326	106997	AAG10	RP11-401E9.1	CHCHD2	ATP5C1	C7orf17	ATP5C|ATP5CL1	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	95.0	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P36542	Q8TAS0	NP_001307815|NP_005165|NP_001001973	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525697	51142	9377	119326	114778	AAG10	-	CHCHD2	COX5A	C7orf17	COX|COX-VA|VA	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	94.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	P20674	-	NP_004246	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525698	283377	51142	129542	119326	-	AAG10	SPRYD4	CHCHD2	-	C7orf17	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	94.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q8WW59	-	NP_997227	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1525703	51142	54938	119326	120278	AAG10	-	CHCHD2	SARS2	C7orf17	SARS|SARSM|SERS|SYS|SerRS|SerRSmt|mtSerRS	Affinity Capture-MS	physical	Floyd BJ (2016)	PUBMED:27499296	9606	9606	High Throughput	94.7	-	The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q9NP81	-	NP_060297|NP_001139373	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2223553	2298	51142	108587	119326	-	AAG10	FOXD4	CHCHD2	FKHL9|FOXD4A|FREAC-5|FREAC5	C7orf17	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999985491	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999985491, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q12950	-	NP_997188	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2224324	168620	51142	127970	119326	-	AAG10	BHLHA15	CHCHD2	BHLHB8|MIST1	C7orf17	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999975632	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999975632, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q7RTS1	-	NP_803238	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2237007	64377	51142	122148	119326	-	AAG10	CHST8	CHCHD2	GALNAC4ST1|GalNAc4ST	C7orf17	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.996013318	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.996013318, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9H2A9	-	NP_071912|NP_001121367|NP_001121368	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2330582	9129	51142	114577	119326	-	AAG10	PRPF3	CHCHD2	HPRP3|HPRP3P|PRP3|Prp3p|RP18|SNRNP90	C7orf17	Affinity Capture-MS	physical	Boldt K (2016)	PUBMED:27173435	9606	9606	High Throughput	-	-	-	-	BIOGRID	O43395	-	NP_004689	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2331711	9128	51142	114576	119326	RP11-110L1.4	AAG10	PRPF4	CHCHD2	HPRP4|HPRP4P|PRP4|Prp4p|RP70|SNRNP60	C7orf17	Affinity Capture-MS	physical	Boldt K (2016)	PUBMED:27173435	9606	9606	High Throughput	-	-	-	-	BIOGRID	O43172	Q5T1M7	NP_001231855|NP_004688	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2331803	51142	10189	119326	115486	AAG10	-	CHCHD2	ALYREF	C7orf17	ALY|ALY/REF|BEF|REF|THOC4	Affinity Capture-MS	physical	Boldt K (2016)	PUBMED:27173435	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y6H1	-	NP_001307256|NP_057223	Q86V81	E9PB61	NP_005773	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2361909	5160	51142	111186	119326	RP11-723P2.1	AAG10	PDHA1	CHCHD2	PDHA|PDHAD|PDHCE1A|PHE1A	C7orf17	Affinity Capture-MS	physical	Malty RH (2017)	PUBMED:29128334	9606	9606	High Throughput	0.00142327	-	HEK293 cell line (FLAG TAGGED; AP/MS)|Normalized Spectral Abundance Factor (NSAF) scores were associated with each mitochondrial protein (MP) interaction. High confidence MP interactions were filtered at a confidence threshold of 90%.	-	BIOGRID	P08559	A0A024RBX9	NP_001166926|NP_001166927|NP_001166925|NP_000275	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2362095	6389	51142	112290	119326	-	AAG10	SDHA	CHCHD2	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF	C7orf17	Affinity Capture-MS	physical	Malty RH (2017)	PUBMED:29128334	9606	9606	High Throughput	0.00242785	-	HEK293 cell line (FLAG TAGGED; AP/MS)|Normalized Spectral Abundance Factor (NSAF) scores were associated with each mitochondrial protein (MP) interaction. High confidence MP interactions were filtered at a confidence threshold of 90%.	-	BIOGRID	P31040	A0A024QZ30|D6RFM5	NP_001317687|NP_004159|NP_001281261	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2362360	6647	51142	112530	119326	-	AAG10	SOD1	CHCHD2	ALS|ALS1|HEL-S-44|IPOA|SOD|hSod1|homodimer	C7orf17	Affinity Capture-MS	physical	Malty RH (2017)	PUBMED:29128334	9606	9606	High Throughput	0.0016119	-	HEK293 cell line (Antibody; IP/MS)|HEK293 cell line (FLAG TAGGED; AP/MS)|Normalized Spectral Abundance Factor (NSAF) scores were associated with each mitochondrial protein (MP) interaction. High confidence MP interactions were filtered at a confidence threshold of 90%.	-	BIOGRID	P00441	V9HWC9	NP_000445	Q9Y6H1	-	NP_001307256|NP_057223	-	-	-	-	-	-	Homo sapiens	Homo sapiens
